:nemesis	:info	:start-partition	:majority
1	:invoke	:generate	nil
2	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1" "n0"}, "n1" #{"n2"}, "n0" #{"n2"}}]
1	:ok	:generate	1707992576
0	:invoke	:generate	nil
2	:ok	:generate	1707992576
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:ok	:generate	1707992576
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	1707992576
1	:ok	:generate	1707992576
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:ok	:generate	1707992576
1	:invoke	:generate	nil
2	:ok	:generate	1707992576
2	:invoke	:generate	nil
1	:ok	:generate	1707992576
0	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
2	:invoke	:generate	nil
1	:ok	:generate	1707992576
0	:invoke	:generate	nil
2	:ok	:generate	1707992576
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
2	:invoke	:generate	nil
1	:ok	:generate	1707992576
0	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:ok	:generate	1707992576
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:ok	:generate	1707992576
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:ok	:generate	1707992576
0	:invoke	:generate	nil
0	:ok	:generate	1707992576
1	:invoke	:generate	nil
1	:ok	:generate	1707992576
2	:invoke	:generate	nil
2	:ok	:generate	1707992576
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	1707992576
